step,train_loss,eval_loss
10,0.7469858646392822,
20,0.40023102760314944,
30,0.2621750831604004,
40,0.22465116977691652,
50,0.1735921859741211,
60,0.18666951656341552,
70,0.1511966586112976,
80,0.12515281438827514,
90,0.11570744514465332,
100,0.07620755434036255,
110,0.08733009099960327,
120,0.08205201625823974,
130,0.052043819427490236,
140,0.060124820470809935,
150,0.049139052629470825,
150,,0.05471888929605484
160,0.04410407841205597,
170,0.06414760947227478,
180,0.0603482186794281,
190,0.03882257640361786,
200,0.038117063045501706,
210,0.03065846562385559,
220,0.02346815913915634,
230,0.03337926864624023,
240,0.029477572441101073,
250,0.029713249206542967,
260,0.018210549652576447,
270,0.019358521699905394,
280,0.019000083208084106,
290,0.023650482296943665,
300,0.017975954711437224,
300,,0.023755118250846863
310,0.024527905881404875,
320,0.013802088797092438,
330,0.01618758887052536,
340,0.006809403002262115,
350,0.010488402843475342,
360,0.013469478487968445,
370,0.011298666149377823,
380,0.006805208325386047,
390,0.004875937849283219,
400,0.0033563777804374697,
410,0.0024197682738304137,
420,0.0038287073373794557,
430,0.004384554922580719,
440,0.0018591329455375672,
450,0.004660998284816742,
450,,0.007728873286396265
460,0.0046516813337802885,
470,0.002578612044453621,
480,0.004487551376223564,
490,0.0027637077495455743,
500,0.00224193911999464,
510,0.0036092918366193772,
520,0.0044502846896648405,
530,0.0021258533000946046,
540,0.0016846155747771263,
550,0.0010941345244646072,
560,0.004751315340399742,
570,0.0018626578152179719,
580,0.0020348107442259788,
590,0.004021570086479187,
600,0.0018476784229278565,
600,,0.006080848164856434
610,0.0027743982151150703,
620,0.0012922879308462144,
630,0.0015562636777758597,
640,0.0011836163699626922,
650,0.002342826500535011,
660,0.0013102523051202297,
670,0.004044327139854431,
680,0.002146938443183899,
690,0.0049121581017971035,
700,0.0016072027385234833,
710,0.0027322983369231224,
720,0.0021552732214331627,
730,0.0011457018554210663,
740,0.004261397570371628,
750,0.0012930994853377342,
750,,0.005451025441288948
750,,0.005451025441288948
